primaryName,birthYear,deathYear,primaryProfession
Seymour Cassel,1935,\N,"actor,soundtrack,producer"
Joanna Cassidy,1945,\N,"actress,soundtrack,producer"
Shaun Cassidy,1958,\N,"producer,writer,actor"
Maxwell Caulfield,1959,\N,"actor,soundtrack,producer"
Jim Caviezel,1968,\N,actor
John Cazale,1935,1978,"actor,cinematographer,editor"
Claude Chabrol,1930,2010,"director,writer,actor"
Marilyn Chambers,1952,2009,"actress,writer,soundtrack"
Lon Chaney Jr.,1906,1973,"actor,soundtrack"
Rosalind Chao,1957,\N,actress
Ben Chaplin,1970,\N,"actor,soundtrack"
Geraldine Chaplin,1944,\N,"actress,writer,soundtrack"
Graham Chapman,1941,1989,"writer,actor,soundtrack"
Josh Charles,1971,\N,"actor,director,soundtrack"
David Charvet,1972,\N,actor
Joan Chen,1961,\N,"actress,producer,director"
Maggie Cheung,1964,\N,"actress,soundtrack"
Lois Chiles,1947,\N,"actress,soundtrack"
Anna Chlumsky,1980,\N,actress
Rae Dawn Chong,1961,\N,"actress,soundtrack,director"
Tommy Chong,1938,\N,"actor,soundtrack,writer"
Julie Christie,1940,\N,"actress,soundtrack"
Michael Cimino,1939,2016,"writer,director,producer"
Andrew Dice Clay,1957,\N,"actor,producer,writer"
Jill Clayburgh,1944,2010,"actress,soundtrack"
Montgomery Clift,1920,1966,"actor,writer,soundtrack"
Bill Clinton,1946,\N,"music_department,soundtrack,miscellaneous"
Kurt Cobain,1967,1994,"soundtrack,actor,composer"
Ethan Coen,1957,\N,"producer,writer,director"
Joel Coen,1954,\N,"producer,writer,director"
Claudette Colbert,1903,1996,"actress,soundtrack"
Dabney Coleman,1932,\N,"actor,miscellaneous,soundtrack"
Toni Collette,1972,\N,"actress,producer,soundtrack"
Joan Collins,1933,\N,"actress,producer,soundtrack"
Robbie Coltrane,1950,\N,"actor,soundtrack,writer"
Chris Columbus,1958,\N,"producer,writer,director"
Holly Marie Combs,1973,\N,"actress,producer,writer"
Jeffrey Combs,1954,\N,actor
Jeff Conaway,1950,2011,"actor,soundtrack,producer"
Jason Connery,1963,\N,"actor,director,producer"
Harry Connick Jr.,1967,\N,"actor,soundtrack,music_department"
Robert Conrad,1935,\N,"actor,director,writer"
Jackie Coogan,1914,1984,"actor,miscellaneous,soundtrack"
Sofia Coppola,1971,\N,"actress,writer,producer"
Bud Cort,1948,\N,"actor,director,writer"
Bill Cosby,1937,\N,"actor,writer,music_department"
Annie Costner,1984,\N,"actress,producer"
Joseph Cotten,1905,1994,"actor,soundtrack,writer"
Courteney Cox,1964,\N,"actress,producer,director"
Ronny Cox,1938,\N,"actor,soundtrack,writer"
Peter Coyote,1941,\N,"actor,miscellaneous,writer"
Joan Crawford,1906,1977,"actress,soundtrack,writer"
Richard Crenna,1926,2003,"actor,director,soundtrack"
Bing Crosby,1903,1977,"soundtrack,actor,producer"
Scatman Crothers,1910,1986,"actor,soundtrack"
Lindsay Crouse,1948,\N,"actress,soundtrack,miscellaneous"
Cameron Crowe,1957,\N,"writer,producer,director"
Billy Crudup,1968,\N,"actor,soundtrack"
Jon Cryer,1965,\N,"actor,soundtrack,director"
Ice Cube,1969,\N,"soundtrack,producer,actor"
Kieran Culkin,1982,\N,actor
Alan Cumming,1965,\N,"actor,soundtrack,producer"
Lee Curreri,1961,\N,"actor,composer,sound_department"
Peter Cushing,1913,1994,"actor,art_department,soundtrack"
Henry Czerny,1959,\N,actor
Joe D'Amato,1936,1999,"director,cinematographer,camera_department"
Patti D'Arbanville,1951,\N,actress
Mark Dacascos,1964,\N,"actor,stunts,director"
John Dahl,1956,\N,"director,writer,art_department"
Roald Dahl,1916,1990,"writer,actor,soundtrack"
BÃ©atrice Dalle,1964,\N,"actress,soundtrack"
Timothy Dalton,1946,\N,"actor,soundtrack"
Charles Dance,1946,\N,"actor,producer,director"
Rodney Dangerfield,1921,2004,"actor,writer,soundtrack"
Jeff Daniels,1955,\N,"actor,soundtrack,writer"
Blythe Danner,1943,\N,"actress,soundtrack"
Ted Danson,1947,\N,"actor,producer,soundtrack"
Joe Dante,1946,\N,"director,producer,miscellaneous"
Tony Danza,1951,\N,"actor,producer,director"
Frank Darabont,1959,\N,"writer,producer,director"
Linda Darnell,1923,1965,"actress,soundtrack"
Racquel Darrian,1968,\N,actress
Stacey Dash,1967,\N,actress
Robert Davi,1951,\N,"actor,producer,director"
Jaye Davidson,1968,\N,actor
Embeth Davidtz,1965,\N,actress
Jeremy Davies,1969,\N,actor
Andrew Davis,1946,\N,"director,cinematographer,writer"
Brad Davis,1949,1991,actor
Judy Davis,1955,\N,"actress,soundtrack"
Ossie Davis,1917,2005,"actor,writer,director"
Warwick Davis,1970,\N,"actor,writer,producer"
Bruce Davison,1946,\N,"actor,director,producer"
Pam Dawber,1951,\N,"actress,soundtrack,producer"
Yvonne De Carlo,1922,2007,"actress,soundtrack"
Vittorio De Sica,1901,1974,"actor,director,writer"
Brandon De Wilde,1942,1972,"actor,soundtrack"
Ellen DeGeneres,1958,\N,"producer,writer,actress"
Dom DeLuise,1933,2009,"actor,soundtrack,director"
Cecil B. DeMille,1881,1959,"producer,director,editor"
Benicio Del Toro,1967,\N,"actor,producer,director"
Kim Delaney,1961,\N,"actress,producer"
Dana Delany,1956,\N,"actress,producer,soundtrack"
Alain Delon,1935,\N,"actor,producer,writer"
Jonathan Demme,1944,2017,"director,producer,writer"
Ted Demme,1963,2002,"director,producer,actor"
Patrick Dempsey,1966,\N,"actor,production_manager,producer"
Judi Dench,1934,\N,"actress,music_department,soundtrack"
Brian Dennehy,1938,\N,"actor,producer,director"
Bob Denver,1935,2005,"actor,soundtrack"
John Derek,1926,1998,"actor,director,cinematographer"
Bruce Dern,1936,\N,"actor,producer,soundtrack"
William Devane,1939,\N,"actor,writer,director"
Susan Dey,1952,\N,"actress,producer"
Tom DiCillo,1953,\N,"director,cinematographer,writer"
Philip K. Dick,1928,1982,writer
Angie Dickinson,1931,\N,"actress,soundtrack"
Uschi Digard,1948,\N,"actress,producer,miscellaneous"
Kevin Dillon,1965,\N,"actor,soundtrack"
CÃ©line Dion,1968,\N,"soundtrack,actress,composer"
Divine,1945,1988,"actor,soundtrack,writer"
Donna Dixon,1957,\N,"actress,soundtrack"
Shannen Doherty,1971,\N,"actress,producer,director"
Troy Donahue,1936,2001,"actor,soundtrack"
Richard Donner,1930,\N,"director,producer,actor"
James Doohan,1920,2005,"actor,miscellaneous"
Stephen Dorff,1973,\N,"actor,producer,soundtrack"
Illeana Douglas,1965,\N,"actress,producer,writer"
Lesley-Anne Down,1954,\N,"actress,writer,soundtrack"
Michael Dudikoff,1954,\N,"actor,assistant_director,producer"
Patrick Duffy,1949,\N,"actor,director,producer"
Olympia Dukakis,1931,\N,"actress,producer"
Patty Duke,1946,2016,"actress,soundtrack,producer"
Keir Dullea,1936,\N,"actor,soundtrack"
Faye Dunaway,1941,\N,"actress,producer,director"
Adrian Dunbar,1958,\N,"actor,soundtrack,director"
Dominique Dunne,1959,1982,"actress,soundtrack"
Griffin Dunne,1955,\N,"actor,director,producer"
Roy Dupuis,1963,\N,"actor,director,producer"
Charles Durning,1923,2012,"actor,soundtrack,miscellaneous"
Charles S. Dutton,1951,\N,"actor,producer,director"
James Duval,1972,\N,"actor,producer,writer"
Shelley Duvall,1949,\N,"producer,actress,writer"
Bob Dylan,1941,\N,"soundtrack,music_department,composer"
George Dzundza,1945,\N,"actor,assistant_director,soundtrack"
Roger Ebert,1942,2013,"writer,actor,producer"
Buddy Ebsen,1908,2003,"actor,soundtrack,producer"
Christopher Eccleston,1964,\N,actor
Aaron Eckhart,1968,\N,"actor,producer"
Barbara Eden,1931,\N,"actress,soundtrack,producer"
Blake Edwards,1922,2010,"writer,producer,director"
Nicole Eggert,1972,\N,"actress,miscellaneous"
Chris Eigeman,1965,\N,"actor,director,writer"
Sergei M. Eisenstein,1898,1948,"director,writer,editor"
Anita Ekberg,1931,2015,"actress,miscellaneous"
Britt Ekland,1942,\N,"actress,director,writer"
Jack Elam,1920,2003,"actor,soundtrack"
Carmen Electra,1972,\N,"actress,soundtrack"
Bodhi Elfman,1969,\N,"actor,producer,writer"
Jenna Elfman,1971,\N,"actress,producer,soundtrack"
Hector Elizondo,1936,\N,"actor,director,soundtrack"
Denholm Elliott,1922,1992,actor
Noah Emmerich,1965,\N,"actor,director"
Nora Ephron,1941,2012,"writer,producer,director"
Gabriel Yared,1949,\N,"composer,music_department,soundtrack"
David Prowse,1935,\N,"actor,miscellaneous"
Adam Sandler,1966,\N,"actor,producer,writer"
John Mark Robinson,1949,\N,"actor,director,soundtrack"
Shelley Fabares,1944,\N,"actress,producer,soundtrack"
Jeff Fahey,1952,\N,"actor,producer,miscellaneous"
Douglas Fairbanks Jr.,1909,2000,"actor,producer,soundtrack"
Douglas Fairbanks,1883,1939,"actor,producer,writer"
Anna Falchi,1972,\N,"actress,producer,executive"
Debrah Farentino,1959,\N,"actress,producer"
Dennis Farina,1944,2013,"actor,producer,soundtrack"
Gary Farmer,1953,\N,"actor,director,camera_department"
Mia Farrow,1945,\N,"actress,soundtrack"
Rainer Werner Fassbinder,1945,1982,"writer,director,actor"
William Faulkner,1897,1962,writer
Marty Feldman,1934,1982,"writer,actor,miscellaneous"
Norman Fell,1924,1998,"actor,soundtrack"
Abel Ferrara,1951,\N,"director,writer,soundtrack"
JosÃ© Ferrer,1912,1992,"actor,soundtrack,director"
Miguel Ferrer,1955,2017,"actor,director,cinematographer"
William Fichtner,1956,\N,"actor,producer,director"
Chelsea Field,1957,\N,actress
W.C. Fields,1880,1946,"actor,writer,soundtrack"
Joseph Fiennes,1970,\N,"actor,director,producer"
Harvey Fierstein,1954,\N,"actor,writer,soundtrack"
Mike Figgis,1948,\N,"director,writer,composer"
Albert Finney,1936,\N,"actor,producer,soundtrack"
Tara Fitzgerald,1967,\N,"actress,director,producer"
Fionnula Flanagan,1941,\N,"actress,producer"
Sean Patrick Flanery,1965,\N,"actor,soundtrack,producer"
Gary Fleder,1965,\N,"producer,director,miscellaneous"
Ian Fleming,1908,1964,"writer,miscellaneous"
Louise Fletcher,1934,\N,actress
Calista Flockhart,1964,\N,"actress,soundtrack,producer"
Lara Flynn Boyle,1970,\N,"actress,producer,soundtrack"
Errol Flynn,1909,1959,"actor,writer,producer"
Nina Foch,1924,2008,"actress,miscellaneous,soundtrack"
James Foley,1953,\N,"director,writer,actor"
Megan Follows,1968,\N,"actress,director,soundtrack"
Peter Fonda,1940,\N,"actor,director,writer"
Glenn Ford,1916,2006,"actor,producer,soundtrack"
Harrison Ford,1884,1957,actor
Claire Forlani,1971,\N,"actress,producer"
Milos Forman,1932,2018,"director,writer,actor"
Robert Forster,1941,\N,"actor,producer,director"
John Forsythe,1918,2010,"actor,soundtrack,producer"
William Forsythe,1955,\N,"actor,producer,soundtrack"
Meg Foster,1948,\N,actress
Samantha Fox,1950,\N,"actress,miscellaneous"
JesÃºs Franco,1930,2013,"writer,director,actor"
John Frankenheimer,1930,2002,"director,miscellaneous,producer"
Dennis Franz,1944,\N,"actor,writer,producer"
Stephen Frears,1941,\N,"director,producer,actor"
Matt Frewer,1958,\N,"actor,soundtrack,writer"
William Friedkin,1935,\N,"director,writer,producer"
Sadie Frost,1965,\N,"actress,producer,soundtrack"
Mira Furlan,1955,\N,actress
Dan Futterman,1967,\N,"actor,producer,writer"
Eva Gabor,1919,1995,"actress,soundtrack"
Zsa Zsa Gabor,1917,2016,"actress,soundtrack"
Monique Gabrielle,1963,\N,"actress,producer,executive"
Charlotte Gainsbourg,1971,\N,"actress,soundtrack,writer"
Peter Gallagher,1955,\N,"actor,soundtrack,writer"
Vincent Gallo,1961,\N,"actor,soundtrack,director"
Mason Gamble,1986,\N,actor
James Gandolfini,1961,2013,"actor,producer,soundtrack"
Victor Garber,1949,\N,"actor,soundtrack,music_department"
Greta Garbo,1905,1990,"actress,soundtrack"
Ava Gardner,1922,1990,"actress,soundtrack,stunts"
James Garner,1928,2014,"actor,producer,soundtrack"
Jennie Garth,1972,\N,"actress,producer,soundtrack"
John Gavin,1931,2018,"actor,soundtrack"
Rebecca Gayheart,1971,\N,"actress,director"
Ben Gazzara,1930,2012,"actor,director,soundtrack"
Jason Gedrick,1965,\N,"actor,director,writer"
Sarah Michelle Gellar,1977,\N,"actress,producer,soundtrack"
Susan George,1950,\N,"actress,producer,music_department"
Gil Gerard,1943,\N,"actor,producer,director"
Balthazar Getty,1975,\N,"actor,producer,music_department"
Estelle Getty,1923,2008,"actress,soundtrack"
Cynthia Gibb,\N,\N,"actress,soundtrack"
Brian Gibson,1944,2004,"director,writer,producer"
Melissa Gilbert,1964,\N,"actress,producer,director"
Annabeth Gish,1971,\N,actress
Lillian Gish,1893,1993,"actress,writer,soundtrack"
Paul Michael Glaser,1943,\N,"actor,producer,director"
Philip Glass,1937,\N,"composer,soundtrack,music_department"
Jackie Gleason,1916,1987,"actor,music_department,writer"
Scott Glenn,1939,\N,"actor,producer,stunts"
John Glover,1944,\N,"actor,soundtrack,miscellaneous"
William Goldman,1931,\N,"writer,miscellaneous,producer"
Jenette Goldstein,1960,\N,actress
Bobcat Goldthwait,1962,\N,"director,actor,writer"
Tony Goldwyn,1960,\N,"actor,director,writer"
Louis Gossett Jr.,1936,\N,"actor,producer,soundtrack"
Michael Gough,1916,2011,actor
Elliott Gould,1938,\N,"actor,producer,soundtrack"
Elizabeth Gracen,1961,\N,"actress,producer,director"
Heather Graham,1970,\N,"actress,soundtrack,producer"
Kelsey Grammer,1955,\N,"producer,actor,soundtrack"
Stewart Granger,1913,1993,actor
Richard E. Grant,1957,\N,"actor,soundtrack,director"
Rupert Graves,1963,\N,"actor,writer,director"
Erin Gray,1950,\N,"actress,soundtrack,producer"
Seth Green,1974,\N,"actor,music_department,writer"
Graham Greene,1904,1991,"writer,actor,producer"
Graham Greene,1952,\N,"actor,miscellaneous,soundtrack"
Lorne Greene,1915,1987,"actor,soundtrack,producer"
Joel Grey,1932,\N,"actor,soundtrack"
Richard Grieco,1965,\N,"actor,producer,director"
Thomas Ian Griffith,1962,\N,"producer,actor,writer"
John Grisham,1955,\N,"writer,producer,actor"
Charles Grodin,1935,\N,"actor,writer,soundtrack"
Christopher Guest,1948,\N,"actor,writer,soundtrack"
Carla Gugino,1971,\N,"actress,soundtrack,producer"
Fred Gwynne,1926,1993,"actor,soundtrack,writer"
Lukas Haas,1976,\N,"actor,soundtrack,music_department"
Larry Hagman,1931,2012,"actor,producer,director"
Stacy Haiduk,1968,\N,"actress,producer"
Alan Hale Jr.,1921,1990,"actor,soundtrack"
Anthony Michael Hall,1968,\N,"actor,producer,soundtrack"
Kevin Peter Hall,1955,1991,"actor,soundtrack,miscellaneous"
Philip Baker Hall,1931,\N,"actor,soundtrack"
Geri Horner,1972,\N,"soundtrack,actress,miscellaneous"
George Hamilton,1939,\N,"actor,producer,soundtrack"
John Hannah,1962,\N,"actor,producer"
Marcia Gay Harden,1959,\N,actress
Oliver Hardy,1892,1957,"actor,soundtrack,director"
Renny Harlin,1959,\N,"producer,director,writer"
Jean Harlow,1911,1937,"actress,soundtrack"
Mark Harmon,1951,\N,"actor,producer,director"
Valerie Harper,1939,\N,"actress,soundtrack,writer"
Richard Harris,1930,2002,"actor,soundtrack,producer"
Rex Harrison,1908,1990,"actor,soundtrack,producer"
Debbie Harry,1945,\N,"soundtrack,actress,composer"
Ian Hart,1964,\N,"actor,writer,miscellaneous"
Hal Hartley,1959,\N,"director,producer,writer"
Josh Hartnett,1978,\N,"actor,producer"
David Hasselhoff,1952,\N,"actor,producer,writer"
Howard Hawks,1896,1977,"director,writer,producer"
Nigel Hawthorne,1929,2001,"actor,producer"
Sterling Hayden,1916,1986,"actor,writer,soundtrack"
Todd Haynes,1961,\N,"director,writer,producer"
Robert Hays,1947,\N,"actor,producer,director"
Susan Hayward,1917,1975,"actress,soundtrack"
John Heard,1946,2017,"actor,producer,soundtrack"
Tippi Hedren,1930,\N,"actress,producer"
Van Heflin,1908,1971,"actor,soundtrack"
Katherine Heigl,1978,\N,"actress,producer,soundtrack"
Brian Helgeland,1961,\N,"writer,director,producer"
Marg Helgenberger,1958,\N,actress
Katherine Helmond,1929,\N,"actress,director"
Florence Henderson,1934,2016,"actress,soundtrack,producer"
Jimi Hendrix,1942,1970,"soundtrack,music_department,composer"
Carrie Henn,1976,\N,actress
Gregg Henry,1952,\N,"actor,soundtrack,music_department"
Jim Henson,1936,1990,"actor,writer,producer"
Edward Herrmann,1943,2014,"actor,soundtrack,miscellaneous"
Barbara Hershey,1948,\N,actress
Werner Herzog,1942,\N,"director,writer,actor"
Jennifer Love Hewitt,1979,\N,"actress,producer,soundtrack"
Benny Hill,1924,1992,"soundtrack,writer,actor"
George Roy Hill,1921,2002,"director,actor,writer"
Terence Hill,1939,\N,"actor,director,miscellaneous"
Walter Hill,1942,\N,"producer,writer,director"
CiarÃ¡n Hinds,1953,\N,"actor,soundtrack"
Michael Hoffman,1956,\N,"director,writer,producer"
Hulk Hogan,1953,\N,"actor,producer,soundtrack"
Paul Hogan,1939,\N,"actor,writer,producer"
Hal Holbrook,1925,\N,"actor,director,writer"
Sterling Holloway,1905,1992,"actor,soundtrack,miscellaneous"
John Holmes,1944,1988,"actor,production_manager,assistant_director"
Tobe Hooper,1943,2017,"director,writer,producer"
Bob Hope,1903,2003,"actor,soundtrack,producer"
Jane Horrocks,1964,\N,"actress,soundtrack,writer"
Bob Hoskins,1942,2014,"actor,soundtrack,director"
Whitney Houston,1963,2012,"soundtrack,actress,producer"
Leslie Howard,1893,1943,"actor,producer,soundtrack"
C. Thomas Howell,1966,\N,"actor,producer,director"
Ernie Hudson,1945,\N,"actor,producer,soundtrack"
Rock Hudson,1925,1985,"actor,soundtrack,producer"
Finola Hughes,1959,\N,"actress,director,producer"
Tom Hulce,1953,\N,"actor,soundtrack,producer"
Bonnie Hunt,1961,\N,"producer,writer,actress"
Linda Hunt,1945,\N,"actress,soundtrack"
Jeffrey Hunter,1926,1969,"actor,producer,soundtrack"
Kim Hunter,1922,2002,"actress,soundtrack"
Isabelle Huppert,1953,\N,"actress,soundtrack,music_department"
Olivia Hussey,1951,\N,"actress,soundtrack"
Anjelica Huston,1951,\N,"actress,director,producer"
John Huston,1906,1987,"actor,director,writer"
Jim Hutton,1934,1979,actor
Lauren Hutton,1943,\N,"producer,actress,soundtrack"
Peter Hyams,1943,\N,"director,cinematographer,writer"
David Hyde Pierce,1959,\N,"actor,soundtrack,writer"
Ice-T,1958,\N,"actor,soundtrack,producer"
Eric Idle,1943,\N,"actor,writer,soundtrack"
Natalie Imbruglia,1975,\N,"actress,soundtrack"
Kathy Ireland,1963,\N,actress
Amy Irving,1953,\N,"actress,soundtrack,producer"
Chris Isaak,1956,\N,"soundtrack,actor,composer"
Janet Jackson,1966,\N,"soundtrack,actress,composer"
Michael Jackson,1958,2009,"soundtrack,actor,composer"
Peter Jackson,1961,\N,"producer,director,writer"
IrÃ¨ne Jacob,1966,\N,actress
Derek Jacobi,1938,\N,"actor,producer"
Richard Jaeckel,1926,1997,actor
Mick Jagger,1943,\N,"soundtrack,actor,producer"
Brion James,1945,1999,"actor,producer"
Jenna Jameson,1974,\N,"actress,producer,director"
Marianne Jean-Baptiste,1967,\N,"actress,director,producer"
Michelle Johnson,1965,\N,actress
Angelina Jolie,1975,\N,"actress,producer,director"
Terry Jones,1942,\N,"writer,actor,producer"
Neil Jordan,1950,\N,"writer,producer,director"
Madeline Kahn,1942,1999,"actress,soundtrack"
Janusz Kaminski,1959,\N,"cinematographer,camera_department,director"
Carol Kane,1952,\N,"actress,soundtrack"
Mitzi Kapture,1962,\N,"actress,director,producer"
Shekhar Kapur,1945,\N,"actor,director,producer"
TchÃ©ky Karyo,1953,\N,actor
Lawrence Kasdan,1949,\N,"writer,producer,director"
William Katt,1951,\N,"actor,director,writer"
Andy Kaufman,1949,1984,"actor,soundtrack,writer"
Julie Kavner,1950,\N,"actress,soundtrack"
Danny Kaye,1911,1987,"soundtrack,actor,music_department"
Elia Kazan,1909,2003,"director,writer,producer"
Catherine Keener,1959,\N,"actress,producer,casting_department"
Brian Keith,1921,1997,"actor,director,soundtrack"
David Keith,1954,\N,"actor,music_department,director"
Sally Kellerman,1937,\N,"actress,soundtrack,miscellaneous"
DeForest Kelley,1920,1999,"actor,soundtrack"
George Kennedy,1925,2016,"actor,miscellaneous"
Persis Khambatta,1948,1998,"actress,producer"
Richard Kiel,1939,2014,"actor,writer,producer"
Udo Kier,1944,\N,"actor,soundtrack,director"
Krzysztof Kieslowski,1941,1996,"writer,director,actor"
Ben Kingsley,1943,\N,"actor,producer,soundtrack"
Greg Kinnear,1963,\N,"actor,producer,writer"
Klaus Kinski,1926,1991,"actor,writer,director"
Takeshi Kitano,1947,\N,"actor,writer,director"
Jack Klugman,1922,2012,"actor,writer,director"
Wayne Knight,1955,\N,"actor,soundtrack"
Charlie Korsmo,1978,\N,actor
Yaphet Kotto,1939,\N,"actor,writer,director"
Kris Kristofferson,1936,\N,"soundtrack,actor,composer"
Lisa Kudrow,1963,\N,"actress,writer,producer"
Swoosie Kurtz,1944,\N,"actress,soundtrack"
Emir Kusturica,1954,\N,"director,actor,writer"
Neil LaBute,1963,\N,"writer,producer,director"
Anthony LaPaglia,1959,\N,"actor,producer,writer"
Cheryl Ladd,1951,\N,"actress,soundtrack"
Christine Lahti,1950,\N,"actress,director,soundtrack"
Ricki Lake,1968,\N,"actress,producer,soundtrack"
Hedy Lamarr,1914,2000,"actress,soundtrack,producer"
Lorenzo Lamas,1958,\N,"actor,producer,director"
Martin Landau,1928,2017,"actor,producer,miscellaneous"
Michael Landon,1936,1991,"actor,producer,writer"
Nathan Lane,1956,\N,"actor,soundtrack,producer"
Jessica Lange,1949,\N,"actress,producer,soundtrack"
Frank Langella,1938,\N,"actor,soundtrack"
Angela Lansbury,1925,\N,"actress,producer,soundtrack"
Queen Latifah,1970,\N,"producer,actress,music_department"
Charles Laughton,1899,1962,"actor,soundtrack,writer"
Piper Laurie,1932,\N,"actress,soundtrack,director"
Martin Lawrence,1965,\N,"actor,writer,producer"
Matt LeBlanc,1967,\N,"actor,producer,soundtrack"
Kelly LeBrock,1960,\N,actress
James Le Gros,1962,\N,"actor,soundtrack,stunts"
Cloris Leachman,1926,\N,"actress,soundtrack"
Denis Leary,1957,\N,"writer,actor,producer"
Mimi Leder,1952,\N,"producer,director,miscellaneous"
Virginie Ledoyen,1976,\N,"actress,producer,soundtrack"
Jason Scott Lee,1966,\N,actor
Janet Leigh,1927,2004,"actress,soundtrack,miscellaneous"
Kay Lenz,1953,\N,"actress,producer,miscellaneous"
Elmore Leonard,1925,2013,"writer,producer,miscellaneous"
Sergio Leone,1929,1989,"assistant_director,writer,director"
Jared Leto,1971,\N,"actor,producer,soundtrack"
David Letterman,1947,\N,"writer,producer,actor"
Barry Levinson,1942,\N,"producer,writer,director"
Charlotte Lewis,1967,\N,actress
Jerry Lewis,1926,2017,"actor,writer,director"
Jet Li,1963,\N,"actor,producer,miscellaneous"
Laura Linney,1964,\N,"actress,producer,miscellaneous"
Tommy 'Tiny' Lister,1958,\N,"actor,producer"
John Lithgow,1945,\N,"actor,soundtrack,producer"
Cleavon Little,1939,1992,"actor,soundtrack"
Robyn Lively,1972,\N,actress
June Lockhart,1925,\N,"actress,soundtrack"
Carole Lombard,1908,1942,"actress,soundtrack"
Shelley Long,1949,\N,"actress,soundtrack,producer"
Tina Louise,1934,\N,"actress,soundtrack"
Courtney Love,1964,\N,"actress,soundtrack,composer"
Linda Lovelace,1949,2002,"actress,miscellaneous"
Jon Lovitz,1957,\N,"actor,soundtrack,writer"
Myrna Loy,1905,1993,"actress,soundtrack"
Sidney Lumet,1924,2011,"director,producer,writer"
John Lynch,1961,\N,"actor,writer,assistant_director"
Kelly Lynch,1959,\N,actress
Paul Lynde,1926,1982,"actor,soundtrack,writer"
Adrian Lyne,1941,\N,"director,writer,producer"
Melanie Lynskey,1977,\N,"actress,soundtrack"
Kyle MacLachlan,1959,\N,"actor,soundtrack,director"
Peter MacNicol,1954,\N,"actor,soundtrack,director"
Ralph Macchio,1961,\N,"actor,producer,director"
Patrick Macnee,1922,2015,"actor,costume_department,soundtrack"
Amy Madigan,1950,\N,"actress,soundtrack,producer"
Tobey Maguire,1975,\N,"actor,producer,director"
John Mahoney,1940,2018,"actor,soundtrack,producer"
Tina Majorino,1985,\N,"actress,soundtrack"
Karl Malden,1912,2009,"actor,soundtrack,director"
Louis Malle,1932,1995,"director,writer,producer"
Luis Mandoki,1954,\N,"director,producer,writer"
Dinah Manoff,1956,\N,"actress,director,soundtrack"
Marilyn Manson,1969,\N,"soundtrack,composer,actor"
Joe Mantegna,1947,\N,"actor,producer,director"
Jane March,1973,\N,actress
Cheech Marin,1946,\N,"actor,soundtrack,writer"
Penny Marshall,1943,\N,"actress,director,producer"
Dean Martin,1917,1995,"soundtrack,actor,producer"
Strother Martin,1919,1980,"actor,soundtrack"
Lee Marvin,1924,1987,"actor,soundtrack,miscellaneous"
Mary Elizabeth Mastrantonio,1958,\N,"actress,soundtrack"
Tim Matheson,1947,\N,"actor,director,producer"
Victor Mature,1913,1999,"actor,soundtrack,producer"
Joseph Mazzello,1983,\N,"actor,director,writer"
Rue McClanahan,1934,2010,"actress,soundtrack,producer"
Catherine McCormack,1972,\N,"actress,director,writer"
Dylan McDermott,1961,\N,"actor,director,writer"
Ian McDiarmid,1944,\N,actor
Christopher McDonald,1955,\N,"actor,producer,director"
Mary McDonnell,1952,\N,"actress,soundtrack"
Roddy McDowall,1928,1998,"actor,producer,soundtrack"
Natascha McElhone,1969,\N,"actress,soundtrack"
Paul McGann,1959,\N,"actor,soundtrack,director"
John C. McGinley,1959,\N,"actor,producer,soundtrack"
Patrick McGoohan,1928,2009,"actor,producer,director"
Elizabeth McGovern,1961,\N,"actress,writer,producer"
Don McKellar,1963,\N,"actor,director,producer"
Nancy McKeon,1966,\N,"actress,director,producer"
William McNamara,1965,\N,"actor,producer,writer"
Kristy McNichol,1962,\N,"actress,soundtrack,producer"
John McTiernan,1951,\N,"director,producer,writer"
Meat Loaf,1947,\N,"actor,soundtrack,producer"
Michelle Meyrink,1962,\N,actress
Dale Midkiff,1959,\N,"actor,producer,soundtrack"
ToshirÃ´ Mifune,1920,1997,"actor,producer,director"
Ray Milland,1907,1986,"actor,director,soundtrack"
Jonny Lee Miller,1972,\N,"actor,soundtrack,director"
Hayley Mills,1946,\N,"actress,soundtrack"
Rachel Miner,1980,\N,"actress,producer"
Kylie Minogue,1968,\N,"actress,soundtrack,composer"
Jay Mohr,1970,\N,"actor,writer,producer"
Gretchen Mol,1972,\N,"actress,soundtrack"
Ricardo Montalban,1920,2009,"actor,soundtrack,director"
Dudley Moore,1935,2002,"actor,writer,soundtrack"
Mary Tyler Moore,1936,2017,"actress,soundtrack,producer"
Agnes Moorehead,1900,1974,"actress,soundtrack,miscellaneous"
Rick Moranis,1953,\N,"actor,writer,producer"
Rita Moreno,1931,\N,"actress,soundtrack"
Cathy Moriarty,1960,\N,"actress,soundtrack"
Alanis Morissette,1974,\N,"soundtrack,actress,composer"
Pat Morita,1932,2005,"actor,soundtrack,writer"
Ennio Morricone,1928,\N,"composer,soundtrack,music_department"
Errol Morris,1948,\N,"director,producer,writer"
Rob Morrow,1962,\N,"actor,director,writer"
David Morse,1953,\N,"actor,director,producer"
Viggo Mortensen,1958,\N,"actor,soundtrack,producer"
Mr. T,1952,\N,"actor,soundtrack,producer"
Audie Murphy,1924,1971,"actor,producer,writer"
Ornella Muti,1955,\N,actress
Jim Nabors,1930,2017,"actor,soundtrack,music_department"
Kathy Najimy,1957,\N,"actress,producer,writer"
Kitten Natividad,1948,\N,actress
