primaryName,birthYear,deathYear,primaryProfession
Neve Campbell,1973,\N,"actress,producer,soundtrack"
John Carpenter,1948,\N,"soundtrack,writer,music_department"
Tia Carrere,1967,\N,"actress,soundtrack,producer"
Jim Carrey,1962,\N,"actor,writer,producer"
Phoebe Cates,1963,\N,"actress,soundtrack"
Charles Chaplin,1889,1977,"writer,soundtrack,actor"
George Clooney,1961,\N,"actor,producer,director"
Jennifer Connelly,1970,\N,actress
Sean Connery,1930,\N,"actor,producer,soundtrack"
Kevin Costner,1955,\N,"actor,producer,soundtrack"
Wes Craven,1939,2015,"writer,producer,director"
Russell Crowe,1964,\N,"actor,soundtrack,producer"
Tom Cruise,1962,\N,"actor,producer,soundtrack"
Jamie Lee Curtis,1958,\N,"actress,producer,director"
John Cusack,1966,\N,"actor,producer,writer"
Claire Danes,1979,\N,"actress,producer,soundtrack"
Geena Davis,1956,\N,"actress,producer,soundtrack"
Robert De Niro,1943,\N,"actor,producer,soundtrack"
John Denver,1943,1997,"soundtrack,music_department,actor"
Johnny Depp,1963,\N,"actor,producer,soundtrack"
Bo Derek,1956,\N,"actress,producer,miscellaneous"
Leonardo DiCaprio,1974,\N,"actor,producer,writer"
Cameron Diaz,1972,\N,"actress,producer,soundtrack"
Michael Douglas,1944,\N,"actor,producer,soundtrack"
David Duchovny,1960,\N,"actor,producer,director"
Clint Eastwood,1930,\N,"actor,producer,director"
Erika Eleniak,1969,\N,actress
Cary Elwes,1962,\N,"actor,producer,director"
Sherilyn Fenn,1965,\N,"actress,soundtrack"
Ralph Fiennes,1962,\N,"actor,director,soundtrack"
Colin Firth,1960,\N,"actor,producer,soundtrack"
Harrison Ford,1942,\N,"actor,writer,producer"
Jodie Foster,1962,\N,"actress,director,producer"
Michael J. Fox,1961,\N,"actor,producer,miscellaneous"
Morgan Freeman,1937,\N,"actor,producer,soundtrack"
Richard Gere,1949,\N,"actor,soundtrack,producer"
Gina Gershon,1962,\N,"actress,soundtrack,producer"
Mel Gibson,1956,\N,"actor,producer,director"
Whoopi Goldberg,1955,\N,"actress,producer,writer"
Jeff Goldblum,1952,\N,"actor,soundtrack,producer"
Linda Hamilton,1956,\N,actress
Tom Hanks,1956,\N,"producer,actor,soundtrack"
Teri Hatcher,1964,\N,"actress,soundtrack,writer"
Ethan Hawke,1970,\N,"actor,writer,director"
Salma Hayek,1966,\N,"actress,producer,soundtrack"
Anne Heche,1969,\N,"actress,writer,producer"
Dustin Hoffman,1937,\N,"actor,producer,soundtrack"
Anthony Hopkins,1937,\N,"actor,soundtrack,composer"
Ron Howard,1954,\N,"actor,producer,director"
Helen Hunt,1963,\N,"actress,producer,director"
Elizabeth Hurley,1965,\N,"actress,producer"
Samuel L. Jackson,1948,\N,"actor,producer,soundtrack"
Tommy Lee Jones,1946,\N,"actor,director,soundtrack"
Milla Jovovich,1975,\N,"actress,soundtrack,composer"
Ashley Judd,1968,\N,"actress,producer,director"
Harvey Keitel,1939,\N,"actor,producer,soundtrack"
Nicole Kidman,1967,\N,"actress,producer,soundtrack"
Val Kilmer,1959,\N,"actor,soundtrack,producer"
Stephen King,1947,\N,"writer,producer,actor"
Nastassja Kinski,1961,\N,"actress,producer,soundtrack"
Kevin Kline,1947,\N,"actor,soundtrack,director"
Diane Lane,1965,\N,"actress,soundtrack"
Jude Law,1972,\N,"actor,producer,soundtrack"
David Lean,1908,1991,"editor,director,writer"
Heather Locklear,1961,\N,"actress,producer,soundtrack"
Jennifer Lopez,1969,\N,"actress,producer,soundtrack"
Traci Lords,1968,\N,"actress,soundtrack,producer"
George Lucas,1944,\N,"writer,producer,director"
Dolph Lundgren,1957,\N,"actor,producer,director"
David Lynch,1946,\N,"writer,director,producer"
Madonna,1958,\N,"soundtrack,actress,music_department"
Steve Martin,1945,\N,"writer,actor,soundtrack"
Jenny McCarthy,1972,\N,"actress,producer,writer"
Matthew McConaughey,1969,\N,"actor,producer,soundtrack"
Ewan McGregor,1971,\N,"actor,writer,soundtrack"
Alyssa Milano,1972,\N,"actress,producer,soundtrack"
Demi Moore,1962,\N,"actress,producer,director"
Julianne Moore,1960,\N,"actress,soundtrack,producer"
Bill Murray,1950,\N,"actor,soundtrack,writer"
Mike Myers,1963,\N,"actor,writer,soundtrack"
Jack Nicholson,1937,\N,"actor,soundtrack,producer"
Gary Oldman,1958,\N,"actor,soundtrack,producer"
Al Pacino,1940,\N,"actor,soundtrack,director"
Bill Paxton,1955,2017,"actor,producer,director"
Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer"
